tune,english.csv
bohorota,"Bara Malagasy (bhr language)"
bohosota,"Buwal (bhs language)"
bohotota,"Bhattiyali (bht language)"
bohobuta,"Bhunjia (bhu language)"
bohovota,"Bahau (bhv language)"
bohosuta,"Biak (bhw language)"
bohoxota,"Bhalay (bhx language)"
bohovuta,"Bhele (bhy language)"
bohozota,"Bada (Indonesia) (bhz language)"
bogamuta,"Badimaya (bia language)"
bogabota,"Bisa (bib language)"
bogabota,"Bissa (bib language)"
bogadota,"Bidiyo (bid language)"
boganuta,"Bepour (bie language)"
bogafota,"Biafada (bif language)"
bogagota,"Biangai (big language)"
bogakota,"Bikol (bik language)"
